,mRS<=0,mRS<=1,mRS<=2,mRS<=3,mRS<=4,mRS<=5,mRS<=6
drip_ship_lvo_ivt,0.10295,0.19476,0.32724,0.48949,0.70813,0.82285,1.0
drip_ship_lvo_ivt_mt,0.11199,0.22184,0.36699,0.53922,0.74661,0.84823,1.0
drip_ship_lvo_mix,0.1112,0.21968,0.36391,0.5354,0.74367,0.84629,1.0
drip_ship_lvo_mt,0.11129,0.2214,0.36697,0.53948,0.74691,0.8484,1.0
drip_ship_nlvo_ivt,0.35977,0.58797,0.70409,0.8233,0.92076,0.95487,1.0
drip_ship_weighted,0.18198,0.38952,0.51479,0.65327,0.81938,0.89541,1.0
drip_ship_weighted_treated,0.23444,0.40228,0.53257,0.67815,0.83147,0.90012,1.0
mothership_lvo_ivt,0.09454,0.18518,0.31825,0.48052,0.7019,0.81845,1.0
mothership_lvo_ivt_mt,0.14982,0.27018,0.41466,0.58775,0.77934,0.86991,1.0
mothership_lvo_mix,0.14553,0.26359,0.40718,0.57944,0.77334,0.86592,1.0
mothership_lvo_mt,0.14982,0.27018,0.41466,0.58775,0.77934,0.86991,1.0
mothership_nlvo_ivt,0.33768,0.57258,0.68987,0.81107,0.91402,0.95074,1.0
mothership_weighted,0.18356,0.39313,0.51847,0.65729,0.82227,0.89736,1.0
mothership_weighted_treated,0.2408,0.41679,0.54734,0.69429,0.84309,0.90798,1.0
